Level;Type;Guid;GroupType;Abbreviations;AbbreviationPrefix;ExpandAt;ExpandAtDelimiters;ExpandAfter;ExpandAfterDelimiters;CaseSensitivity;ApplicationAvailabilityMode;ApplicationAvailabilityApplications;ShowInMenuBar;ShowInMenuBarAtFirstLevel;SuggestAbbreviations;Parameters;ContentType;Text;Html;Label;Tag;Note;ScriptType;ScriptingHost;ScriptWorkingDirectory;FileContent;IsRelative;DateCreated;LastTimeUsed
2;0;c0c1db52-7a6e-49fa-ae26-0a6f8a110c3e;0;pG;;0;;0;;0;0;;False;False;False;;0;π;;;;;;;;;;0;1608809467
2;0;b85a2114-8109-480d-831b-d173a00f390f;0;QG;;0;;0;;0;0;;False;False;False;;0;Θ;;;;;;;;;;0;1609833615
2;0;0bf28fdf-7cf5-4b33-8e07-05bcaaae8574;0;qG;;0;;0;;0;0;;False;False;False;;0;θ;;;;;;;;;;0;1609833576
2;0;b9597f5d-61a0-4990-9462-6feeaf17b716;0;rG;;0;;0;;0;0;;False;False;False;;0;ρ;;;;;;;;;;0;0
2;0;7ee9f5f0-09f6-49f3-9daa-90cf02838983;0;SG;;0;;0;;0;0;;False;False;False;;0;Σ;;;;;;;;;;0;1608569284
2;0;e5d8a794-ec62-4873-95a3-9996e48cc54b;0;sG;;0;;0;;0;0;;False;False;False;;0;σ;;;;;;;;;;0;1609833301
2;0;af7be1af-bb44-4fa2-8242-729944dbb42e;0;tG;;0;;0;;0;0;;False;False;False;;0;τ;;;;;;;;;;0;1609833497
2;0;6b393de7-ef88-42a7-adda-8af07f1fe60d;0;uG;;0;;0;;0;0;;False;False;False;;0;υ;;;;;;;;;;0;1608569686
2;0;805ecafb-e10d-4473-9228-34897d0d3b7d;0;UG;;0;;0;;0;0;;False;False;False;;0;Υ;;;;;;;;;;0;1608569695
2;0;aedfb215-fb7d-4cf1-8934-db57c266d3b9;0;XG;;0;;0;;0;0;;False;False;False;;0;Ξ;;;;;;;;;;0;1608570033
2;0;86da87b4-98c9-45d0-bbce-db26b73a7c5b;0;xG;;0;;0;;0;0;;False;False;False;;0;ξ;;;;;;;;;;0;1608809191
2;0;e488d7fa-cef8-4274-a5aa-66ed387811e9;0;YG;;0;;0;;0;0;;False;False;False;;0;Ψ;;;;;;;;;;0;0
2;0;02bc2646-3de7-457c-baa5-34e75013f08c;0;yG;;0;;0;;0;0;;False;False;False;;0;ψ;;;;;;;;;;0;0
2;0;427c20a5-99d3-46de-af8e-8a23f389f5e6;0;zG;;0;;0;;0;0;;False;False;False;;0;ζ;;;;;;;;;;0;1608808466
1;1;1c6d81e4-a748-4bba-acf3-2b751e3fcb29;0;;;0;;2;;0;0;;True;False;True;;0;;;Math++;;;;;;;;1609834348;0
2;0;c4c898e9-6bcd-41cc-8c70-27bfdcd9e815;0;5/8++;;0;;0;;0;0;;False;False;False;;0;⅝;;;;;;;;;;0;0
2;0;76dffd90-e2a0-4b98-a7da-24b6e548727a;0;7/8++;;0;;0;;0;0;;False;False;False;;0;⅞;;;;;;;;;;0;0
2;0;e6ea41bd-0ba1-491e-86af-ff130169d69a;0;{x}++;;0;;0;;0;0;;False;False;False;;0;✘;;;;;;;;;;0;0
2;0;6590c788-971f-481c-92b4-5cbec651f98a;0;{v}++;;0;;0;;0;0;;False;False;False;;0;✔;;;;;;;;;;0;0
2;0;40bf2548-de0b-49bc-b88a-f23651633107;0;[v]++;;0;;0;;0;0;;False;False;False;;0;☑;;;;;;;;;;0;0
2;0;0dc25d3a-2641-4a6e-9341-9c91118989f5;0;[x]++;;0;;0;;1;0;;False;False;False;;0;☒;;;;;;;;;;0;0
2;0;d047cacb-7b6a-4b08-8718-979943c76c81;0;[ ]++;;0;;0;;0;0;;False;False;False;;0;☐;;;;;;;;;;0;0
2;0;51109334-8e1b-4e2a-91ef-63fee36d9521;0;5/6++;;0;;0;;0;0;;False;False;False;;0;⅚;;;;;;;;;;0;0
2;0;43e6f9ed-7376-41f9-aaf5-e8a66b711dac;0;1/6++;;0;;0;;0;0;;False;False;False;;0;⅙;;;;;;;;;;0;0
2;0;a2e6bb5b-fff9-4f8d-9911-e2dfb040cb61;0;4/5++;;0;;0;;0;0;;False;False;False;;0;⅘;;;;;;;;;;0;0
2;0;ce6a391c-8e4a-4139-b9f1-86cd86d22073;0;3/5++;;0;;0;;0;0;;False;False;False;;0;⅗;;;;;;;;;;0;0
2;0;78ad1bc0-ad07-4f7c-93e2-8523dde76b81;0;2/5++;;0;;0;;1;0;;False;False;False;;0;⅖;;;;;;;;;;0;0
2;0;61b46b0c-b584-4575-ab1e-b9bb0abb9ac4;0;1/5++;;0;;0;;1;0;;False;False;False;;0;⅕;;;;;;;;;;0;0
2;0;95587370-90ec-4b9f-8fdd-8719e7a486e0;0;3/4++;;0;;0;;1;0;;False;False;False;;0;¾;;;;;;;;;;0;0
2;0;8dd8c10f-d6fb-4dd6-9c03-316c0bc88c3c;0;1/4++;;0;;0;;1;0;;False;False;False;;0;¼;;;;;;;;;;0;0
2;0;eabdc918-cfb0-4089-9664-e1f4f0b68b91;0;2/3++;;0;;0;;0;0;;False;False;False;;0;⅔;;;;;;;;;;0;0
2;0;40082a61-9518-408a-9ec1-7782a1d8f2eb;0;1/3++;;0;;0;;0;0;;False;False;False;;0;⅓;;;;;;;;;;0;0
2;0;66265d1d-6304-4aa4-a5af-5771f9a4d9b9;0;1/2++;;0;;0;;0;0;;False;False;False;;0;½;;;;;;;;;;0;0
2;0;11749f08-234e-4b25-a5a0-0b0b1ce7b525;0;'++;;0;;0;;0;0;;False;False;False;;0;ʹ;;;;;;;;;;0;1608982468
2;0;10ae73d3-1772-4b3a-af93-add64c91bb79;0;_i++;;0;;0;;0;0;;False;False;False;;0;ⁱ;;;;;;;;;;0;0
2;0;31b9b9f8-688c-4b00-af25-57cd01d533d4;0;_ae++;;0;;0;;;0;;False;False;False;;0;ₔ;;;;;;;;;;0;0
2;0;7ab2c49e-1449-488f-a523-f4903fa3b11e;0;_x++;;0;;0;;;0;;False;False;False;;0;ₓ;;;;;;;;;;0;0
2;0;4708f434-e39e-442e-a42b-4df7458bf70a;0;_o++;;0;;0;;;0;;False;False;False;;0;ₒ;;;;;;;;;;0;0
2;0;4df2a4b1-a7ef-4a4d-8817-e3e8fcaa5226;0;_e++;;0;;0;;;0;;False;False;False;;0;ₑ;;;;;;;;;;0;0
2;0;f15a2a92-070c-4c5c-9c67-ba898a20c3b3;0;_a++;;0;;0;;;0;;False;False;False;;0;ₐ;;;;;;;;;;0;0
2;0;b8bdaf8a-34d7-4f81-8868-c57b6ced2c9a;0;_)++;;0;;0;;;0;;False;False;False;;0;₎;;;;;;;;;;0;0
2;0;e71c32f4-4194-4400-8362-01c6e829100c;0;_(++;;0;;0;;;0;;False;False;False;;0;₍;;;;;;;;;;0;0
2;0;b457795f-15a1-4cf2-abc7-eaa1ccf4711b;0;_=++;;0;;0;;;0;;False;False;False;;0;₌;;;;;;;;;;0;0
2;0;e83b6362-1053-42eb-b0fd-87e799ad4933;0;_-++;;0;;0;;;0;;False;False;False;;0;₋;;;;;;;;;;0;0
2;0;ac5a6419-32a5-465c-8fb0-980e0da82eb9;0;_+++;;0;;0;;;0;;False;False;False;;0;₊;;;;;;;;;;0;0
2;0;e2d82f69-0cab-4bbb-8d9a-a0cf81996dfb;0;_8++;;0;;0;;;0;;False;False;False;;0;₈;;;;;;;;;;0;0
2;0;bae55003-3135-4bf5-9962-638f4aa7cc2a;0;_5++;;0;;0;;;0;;False;False;False;;0;₅;;;;;;;;;;0;0
2;0;6d320311-ce5e-4744-b562-8ffc541aacb0;0;_6++;;0;;0;;;0;;False;False;False;;0;₆;;;;;;;;;;0;0
2;0;180b82cf-75d1-48d2-b81f-a8d135913d3f;0;_4++;;0;;0;;;0;;False;False;False;;0;₄;;;;;;;;;;0;0
2;0;13310aad-9505-4822-b76f-953b835e7e78;0;_7++;;0;;0;;;0;;False;False;False;;0;₇;;;;;;;;;;0;0
2;0;661a1419-6775-4634-b19e-9992eb6f8dcc;0;_9++;;0;;0;;;0;;False;False;False;;0;₉;;;;;;;;;;0;0
2;0;2bac02af-c8b0-46b1-bdce-326f7262a950;0;_1++;;0;;0;;;0;;False;False;False;;0;₁;;;;;;;;;;0;1608786608
2;0;dbd817b3-acdf-4e51-930c-5c5949e5a703;0;_3++;;0;;0;;;0;;False;False;False;;0;₃;;;;;;;;;;0;0
2;0;32b322dc-aab4-4e8e-b8ce-58372e1b9f8f;0;^(++;;0;;0;;;0;;False;False;False;;0;⁽;;;;;;;;;;0;0
2;0;694ac445-7328-42cb-a5e5-8a7ca570a495;0;_2++;;0;;0;;;0;;False;False;False;;0;₂;;;;;;;;;;0;1608786524
2;0;180254db-09dc-4b6f-afcc-db7c946bb617;0;_0++;;0;;0;;;0;;False;False;False;;0;₀;;;;;;;;;;0;1608786477
2;0;a868041e-fd23-4887-8df1-b4b684299a62;0;^n++;;0;;0;;;0;;False;False;False;;0;ⁿ;;;;;;;;;;0;0
2;0;c07017d6-3d8e-4346-8ad9-a5211a8928ae;0;^)++;;0;;0;;;0;;False;False;False;;0;⁾;;;;;;;;;;0;0
2;0;fc8949fa-8645-4864-976e-2829a269c071;0;^=++;;0;;0;;;0;;False;False;False;;0;⁼;;;;;;;;;;0;0
2;0;f19f1f6d-9a6d-4cb7-a7fe-7511e2f18014;0;^-++;;0;;0;;;0;;False;False;False;;0;⁻;;;;;;;;;;0;1608789835
2;0;0435e4c3-9341-42c3-8423-cc9993d9f746;0;3/8++;;0;;0;;0;0;;False;False;False;;0;⅜;;;;;;;;;;0;0
2;0;32a41e8c-43d0-4ab6-80e5-097fd0e64c84;0;^+++;;0;;0;;;0;;False;False;False;;0;⁺;;;;;;;;;;0;0
2;0;9d9cfdac-6207-4607-b154-028fd6979995;0;1/8++;;0;;0;;0;0;;False;False;False;;0;⅛;;;;;;;;;;0;0
2;0;3b9f4133-979d-4104-848c-be40170de300;0;^9++;;0;;0;;;0;;False;False;False;;0;⁹;;;;;;;;;;0;0
2;0;18394a75-192a-4183-adfd-f7f16bf666fc;0;^8++;;0;;0;;;0;;False;False;False;;0;⁸;;;;;;;;;;0;0
